x;y;speed;lookahead
-12.35;-2.71;4.0;1.5
-12.345033223706288;-2.71;4.0;1.5
-12.340066447412578;-2.71;4.0;1.5
-12.335099671118867;-2.71;4.0;1.5
-12.330132894825155;-2.71;4.0;1.5
-12.325166118531445;-2.71;4.0;1.5
-12.320199342237734;-2.71;4.0;1.5
-12.315232565944022;-2.71;4.0;1.5
-12.310265789650312;-2.71;4.0;1.5
-12.305299013356601;-2.71;4.0;1.5
-12.30033223706289;-2.71;4.0;1.5
-12.29536546076918;-2.71;4.0;1.5
-12.290398684475468;-2.71;4.0;1.5
-12.285431908181756;-2.71;4.0;1.5
-12.280465131888047;-2.71;4.0;1.5
-12.275498355594335;-2.71;4.0;1.5
-12.270531579300624;-2.71;4.0;1.5
-12.265564803006912;-2.71;4.0;1.5
-12.260598026713202;-2.71;4.0;1.5
-12.25563125041949;-2.71;4.0;1.5
-12.250664474125779;-2.71;4.0;1.5
-12.24569769783207;-2.71;4.0;1.5
-12.240730921538358;-2.71;4.0;1.5
-12.235764145244646;-2.71;4.0;1.5
-12.230797368950936;-2.71;4.0;1.5
-12.225830592657225;-2.71;4.0;1.5
-12.220863816363513;-2.71;4.0;1.5
-12.215897040069803;-2.71;4.0;1.5
-12.210930263776092;-2.71;4.0;1.5
-12.20596348748238;-2.71;4.0;1.5
-12.20099671118867;-2.71;4.0;1.5
-12.196029934894959;-2.71;4.0;1.5
-12.191063158601247;-2.71;4.0;1.5
-12.186096382307538;-2.71;4.0;1.5
-12.181129606013826;-2.71;4.0;1.5
-12.176162829720115;-2.71;4.0;1.5
-12.171196053426405;-2.71;4.0;1.5
-12.166229277132693;-2.71;4.0;1.5
-12.161262500838982;-2.71;4.0;1.5
-12.156295724545272;-2.71;4.0;1.5
-12.15132894825156;-2.71;4.0;1.5
-12.146362171957849;-2.71;4.0;1.5
-12.141395395664139;-2.71;4.0;1.5
-12.136428619370427;-2.71;4.0;1.5
-12.131461843076716;-2.71;4.0;1.5
-12.126495066783006;-2.71;4.0;1.5
-12.121528290489294;-2.71;4.0;1.5
-12.116561514195583;-2.71;4.0;1.5
-12.111594737901873;-2.71;4.0;1.5
-12.106627961608162;-2.71;4.0;1.5
-12.10166118531445;-2.71;4.0;1.5
-12.096694409020738;-2.71;4.0;1.5
-12.091727632727029;-2.71;4.0;1.5
-12.086760856433317;-2.71;4.0;1.5
-12.081794080139606;-2.71;4.0;1.5
-12.076827303845896;-2.71;4.0;1.5
-12.071860527552184;-2.71;4.0;1.5
-12.066893751258473;-2.71;4.0;1.5
-12.061926974964763;-2.71;4.0;1.5
-12.056960198671051;-2.71;4.0;1.5
-12.05199342237734;-2.71;4.0;1.5
-12.04702664608363;-2.71;4.0;1.5
-12.042059869789918;-2.71;4.0;1.5
-12.037093093496207;-2.71;4.0;1.5
-12.032126317202497;-2.71;4.0;1.5
-12.027159540908785;-2.71;4.0;1.5
-12.022192764615074;-2.71;4.0;1.5
-12.017225988321364;-2.71;4.0;1.5
-12.012259212027653;-2.71;4.0;1.5
-12.007292435733941;-2.71;4.0;1.5
-12.002325659440231;-2.71;4.0;1.5
-11.99735888314652;-2.71;4.0;1.5
-11.992392106852808;-2.71;4.0;1.5
-11.987425330559098;-2.71;4.0;1.5
-11.982458554265387;-2.71;4.0;1.5
-11.977491777971675;-2.71;4.0;1.5
-11.972525001677965;-2.71;4.0;1.5
-11.967558225384254;-2.71;4.0;1.5
-11.962591449090542;-2.71;4.0;1.5
-11.957624672796832;-2.71;4.0;1.5
-11.952657896503121;-2.71;4.0;1.5
-11.94769112020941;-2.71;4.0;1.5
-11.9427243439157;-2.71;4.0;1.5
-11.937757567621988;-2.71;4.0;1.5
-11.932790791328276;-2.71;4.0;1.5
-11.927824015034565;-2.71;4.0;1.5
-11.922857238740855;-2.71;4.0;1.5
-11.917890462447144;-2.71;4.0;1.5
-11.912923686153432;-2.71;4.0;1.5
-11.907956909859722;-2.71;4.0;1.5
-11.90299013356601;-2.71;4.0;1.5
-11.898023357272299;-2.71;4.0;1.5
-11.89305658097859;-2.71;4.0;1.5
-11.888089804684878;-2.71;4.0;1.5
-11.883123028391166;-2.71;4.0;1.5
-11.878156252097456;-2.71;4.0;1.5
-11.873189475803745;-2.71;4.0;1.5
-11.868222699510033;-2.71;4.0;1.5
-11.863255923216323;-2.71;4.0;1.5
-11.858289146922612;-2.71;4.0;1.5
-11.8533223706289;-2.71;4.0;1.5
-11.84835559433519;-2.71;4.0;1.5
-11.843388818041479;-2.71;4.0;1.5
-11.838422041747767;-2.71;4.0;1.5
-11.833455265454058;-2.71;4.0;1.5
-11.828488489160346;-2.71;4.0;1.5
-11.823521712866635;-2.71;4.0;1.5
-11.818554936572925;-2.71;4.0;1.5
-11.813588160279213;-2.71;4.0;1.5
-11.808621383985502;-2.71;4.0;1.5
-11.803654607691792;-2.71;4.0;1.5
-11.79868783139808;-2.71;4.0;1.5
-11.793721055104369;-2.71;4.0;1.5
-11.788754278810657;-2.71;4.0;1.5
-11.783787502516947;-2.71;4.0;1.5
-11.778820726223236;-2.71;4.0;1.5
-11.773853949929524;-2.71;4.0;1.5
-11.768887173635814;-2.71;4.0;1.5
-11.763920397342103;-2.71;4.0;1.5
-11.758953621048391;-2.71;4.0;1.5
-11.753986844754682;-2.71;4.0;1.5
-11.74902006846097;-2.71;4.0;1.5
-11.744053292167258;-2.71;4.0;1.5
-11.739086515873549;-2.71;4.0;1.5
-11.734119739579837;-2.71;4.0;1.5
-11.729152963286126;-2.71;4.0;1.5
-11.724186186992416;-2.71;4.0;1.5
-11.719219410698704;-2.71;4.0;1.5
-11.714252634404993;-2.71;4.0;1.5
-11.709285858111283;-2.71;4.0;1.5
-11.704319081817571;-2.71;4.0;1.5
-11.69935230552386;-2.71;4.0;1.5
-11.69438552923015;-2.71;4.0;1.5
-11.689418752936438;-2.71;4.0;1.5
-11.684451976642727;-2.71;4.0;1.5
-11.679485200349017;-2.71;4.0;1.5
-11.674518424055305;-2.71;4.0;1.5
-11.669551647761594;-2.71;4.0;1.5
-11.664584871467884;-2.71;4.0;1.5
-11.659618095174173;-2.71;4.0;1.5
-11.654651318880461;-2.71;4.0;1.5
-11.649684542586751;-2.71;4.0;1.5
-11.64471776629304;-2.71;4.0;1.5
-11.639750989999328;-2.71;4.0;1.5
-11.634784213705618;-2.71;4.0;1.5
-11.629817437411907;-2.71;4.0;1.5
-11.624850661118195;-2.71;4.0;1.5
-11.619883884824485;-2.71;4.0;1.5
-11.614917108530774;-2.71;4.0;1.5
-11.609950332237062;-2.71;4.0;1.5
-11.604983555943353;-2.71;4.0;1.5
-11.600016779649641;-2.71;4.0;1.5
-11.59505000335593;-2.71;4.0;1.5
-11.590083227062218;-2.71;4.0;1.5
-11.585116450768508;-2.71;4.0;1.5
-11.580149674474796;-2.71;4.0;1.5
-11.575182898181085;-2.71;4.0;1.5
-11.570216121887375;-2.71;4.0;1.5
-11.565249345593664;-2.71;4.0;1.5
-11.560282569299952;-2.71;4.0;1.5
-11.555315793006242;-2.71;4.0;1.5
-11.55034901671253;-2.71;4.0;1.5
-11.545382240418819;-2.71;4.0;1.5
-11.54041546412511;-2.71;4.0;1.5
-11.535448687831398;-2.71;4.0;1.5
-11.530481911537686;-2.71;4.0;1.5
-11.525515135243976;-2.71;4.0;1.5
-11.520548358950265;-2.71;4.0;1.5
-11.515581582656553;-2.71;4.0;1.5
-11.510614806362844;-2.71;4.0;1.5
-11.505648030069132;-2.71;4.0;1.5
-11.50068125377542;-2.71;4.0;1.5
-11.49571447748171;-2.71;4.0;1.5
-11.490747701187999;-2.71;4.0;1.5
-11.485780924894287;-2.71;4.0;1.5
-11.480814148600578;-2.71;4.0;1.5
-11.475847372306866;-2.71;4.0;1.5
-11.470880596013155;-2.71;4.0;1.5
-11.465913819719445;-2.71;4.0;1.5
-11.460947043425733;-2.71;4.0;1.5
-11.455980267132022;-2.71;4.0;1.5
-11.45101349083831;-2.71;4.0;1.5
-11.4460467145446;-2.71;4.0;1.5
-11.441079938250889;-2.71;4.0;1.5
-11.436113161957177;-2.71;4.0;1.5
-11.431146385663467;-2.71;4.0;1.5
-11.426179609369756;-2.71;4.0;1.5
-11.421212833076044;-2.71;4.0;1.5
-11.416246056782335;-2.71;4.0;1.5
-11.411279280488623;-2.71;4.0;1.5
-11.406312504194911;-2.71;4.0;1.5
-11.401345727901202;-2.71;4.0;1.5
-11.39637895160749;-2.71;4.0;1.5
-11.391412175313778;-2.71;4.0;1.5
-11.386445399020069;-2.71;4.0;1.5
-11.381478622726357;-2.71;4.0;1.5
-11.376511846432646;-2.71;4.0;1.5
-11.371545070138936;-2.71;4.0;1.5
-11.366578293845224;-2.71;4.0;1.5
-11.361611517551513;-2.71;4.0;1.5
-11.356644741257803;-2.71;4.0;1.5
-11.351677964964091;-2.71;4.0;1.5
-11.34671118867038;-2.71;4.0;1.5
-11.34174441237667;-2.71;4.0;1.5
-11.336777636082958;-2.71;4.0;1.5
-11.331810859789247;-2.71;4.0;1.5
-11.326844083495537;-2.71;4.0;1.5
-11.321877307201826;-2.71;4.0;1.5
-11.316910530908114;-2.71;4.0;1.5
-11.311943754614404;-2.71;4.0;1.5
-11.306976978320693;-2.71;4.0;1.5
-11.302010202026981;-2.71;4.0;1.5
-11.297043425733271;-2.71;4.0;1.5
-11.29207664943956;-2.71;4.0;1.5
-11.287109873145848;-2.71;4.0;1.5
-11.282143096852138;-2.71;4.0;1.5
-11.277176320558427;-2.71;4.0;1.5
-11.272209544264715;-2.71;4.0;1.5
-11.267242767971005;-2.71;4.0;1.5
-11.262275991677294;-2.71;4.0;1.5
-11.257309215383582;-2.71;4.0;1.5
-11.25234243908987;-2.71;4.0;1.5
